ora,Elevazione,Azimut,,Data:,20/12/2022,,
07:50:00,0.72,123.87,,coordinate:,43.2081451, 12.0774025,,
07:55:00,1.48,124.74,,localit :,43.20814510,12.07740250,,
08:00:00,2.22,125.61,,,,,
08:05:00,2.96,126.49,,07:39:47,-0.833,122.13,
08:10:00,3.68,127.38,,16:38:42,-0.833,237.86,
08:15:00,4.4,128.27,,,,,
08:20:00,5.11,129.18,,,,,
08:25:00,5.82,130.09,,,,,
08:30:00,6.51,131.01,,,,,
08:35:00,7.19,131.94,,,,,
08:40:00,7.86,132.87,,,,,
08:45:00,8.53,133.82,,,,,
08:50:00,9.18,134.77,,,,,
08:55:00,9.82,135.74,,,,,
09:00:00,10.45,136.71,,,,,
09:05:00,11.07,137.69,,,,,
09:10:00,11.67,138.68,,,,,
09:15:00,12.27,139.69,,,,,
09:20:00,12.85,140.7,,,,,
09:25:00,13.42,141.72,,,,,
09:30:00,13.98,142.75,,,,,
09:35:00,14.53,143.79,,,,,
09:40:00,15.06,144.84,,,,,
09:45:00,15.57,145.9,,,,,
09:50:00,16.08,146.97,,,,,
09:55:00,16.57,148.05,,,,,
10:00:00,17.04,149.14,,,,,
10:05:00,17.5,150.24,,,,,
10:10:00,17.95,151.35,,,,,
10:15:00,18.37,152.47,,,,,
10:20:00,18.79,153.6,,,,,
10:25:00,19.18,154.74,,,,,
10:30:00,19.56,155.89,,,,,
10:35:00,19.93,157.04,,,,,
10:40:00,20.27,158.21,,,,,
10:45:00,20.6,159.38,,,,,
10:50:00,20.92,160.56,,,,,
10:55:00,21.21,161.74,,,,,
11:00:00,21.49,162.94,,,,,
11:05:00,21.74,164.14,,,,,
11:10:00,21.98,165.35,,,,,
11:15:00,22.2,166.56,,,,,
11:20:00,22.41,167.78,,,,,
11:25:00,22.59,169.01,,,,,
11:30:00,22.75,170.24,,,,,
11:35:00,22.9,171.47,,,,,
11:40:00,23.02,172.71,,,,,
11:45:00,23.13,173.95,,,,,
11:50:00,23.22,175.19,,,,,
11:55:00,23.28,176.44,,,,,
12:00:00,23.33,177.69,,,,,
12:05:00,23.36,178.94,,,,,
12:10:00,23.36,180.18,,,,,
12:15:00,23.35,181.43,,,,,
12:20:00,23.32,182.68,,,,,
12:25:00,23.26,183.93,,,,,
12:30:00,23.19,185.17,,,,,
12:35:00,23.1,186.42,,,,,
12:40:00,22.99,187.66,,,,,
12:45:00,22.86,188.89,,,,,
12:50:00,22.71,190.13,,,,,
12:55:00,22.54,191.35,,,,,
13:00:00,22.35,192.58,,,,,
13:05:00,22.14,193.8,,,,,
13:10:00,21.91,195.01,,,,,
13:15:00,21.67,196.22,,,,,
13:20:00,21.41,197.41,,,,,
13:25:00,21.12,198.61,,,,,
13:30:00,20.82,199.79,,,,,
13:35:00,20.51,200.97,,,,,
13:40:00,20.17,202.14,,,,,
13:45:00,19.82,203.3,,,,,
13:50:00,19.45,204.45,,,,,
13:55:00,19.07,205.6,,,,,
14:00:00,18.66,206.73,,,,,
14:05:00,18.25,207.86,,,,,
14:10:00,17.81,208.97,,,,,
14:15:00,17.36,210.08,,,,,
14:20:00,16.9,211.18,,,,,
14:25:00,16.42,212.27,,,,,
14:30:00,15.93,213.34,,,,,
14:35:00,15.42,214.41,,,,,
14:40:00,14.9,215.47,,,,,
14:45:00,14.36,216.52,,,,,
14:50:00,13.81,217.55,,,,,
14:55:00,13.25,218.58,,,,,
15:00:00,12.68,219.6,,,,,
15:05:00,12.09,220.61,,,,,
15:10:00,11.49,221.61,,,,,
15:15:00,10.88,222.6,,,,,
15:20:00,10.26,223.58,,,,,
15:25:00,9.63,224.55,,,,,
15:30:00,8.98,225.51,,,,,
15:35:00,8.33,226.46,,,,,
15:40:00,7.66,227.4,,,,,
15:45:00,6.99,228.34,,,,,
15:50:00,6.3,229.26,,,,,
15:55:00,5.61,230.18,,,,,
16:00:00,4.9,231.09,,,,,
16:05:00,4.19,231.99,,,,,
16:10:00,3.47,232.88,,,,,
16:15:00,2.74,233.77,,,,,
16:20:00,2,234.64,,,,,
16:25:00,1.25,235.51,,,,,
16:30:00,0.5,236.38,,,,,
